kai,datetime,hour,minute,Tem,DO,Sal,nissyaryou,Chl.a
HIU,2000/5/17,10,47,17.18,8.2,32.77,20,0.7
HIU,2000/5/17,13,22,17.47,8.2,32.79,20,0.5
HIU,2000/5/17,14,9,17.94,8.2,32.74,20,2.7
HIU,2000/5/17,15,13,18.92,7.9,32.63,20,0.5
HIU,2000/5/23,9,30,16.1,8,33,23.6,1
HIU,2000/5/23,10,30,18,8.8,33,23.6,1.2
HIU,2000/5/23,11,40,18.2,9,32.9,23.6,0.6
HIU,2000/5/23,12,45,17.9,8.2,33,23.6,0.2
HIU,2000/5/24,8,55,15.9,9,33.2,26.4,1.8
HIU,2000/5/24,10,5,18.6,7.9,33,26.4,0.4
HIU,2000/5/24,11,15,18.3,7.9,33,26.4,0.5
HIU,2000/5/24,13,10,16.7,8.1,33.1,26.4,0.9
HIU,2000/8/22,9,30,28.92,7.2,32.78,21.5,1
HIU,2000/8/22,10,40,29.5,8.1,32.54,21.5,2.2
HIU,2000/8/22,11,55,27.82,8.1,32.63,21.5,1.6
HIU,2000/8/22,13,5,28.03,6.8,32.71,21.5,7.4
HIU,2000/8/23,8,55,27.17,7.1,32.82,22.5,3.8
HIU,2000/8/23,10,10,28.01,7.2,32.79,22.5,1.4
HIU,2000/8/23,10,49,28.26,6.4,32.74,22.5,0.1
HIU,2000/8/23,11,20,27.9,6.8,32.73,22.5,1.5
HIU,2000/8/23,13,15,28.21,7.1,32.91,22.5,0.9
HIU,2000/8/23,13,21,28.95,6.9,32.78,22.5,0.2
HIU,2000/8/23,14,6,29.24,6.9,32.76,22.5,0.3
HIU,2000/8/23,15,10,29.2,7.2,32.64,22.5,0.1
HIU,2000/10/16,10,50,23.77,6.8,31.6,18.1,0.7
HIU,2000/10/16,13,21,24.07,7.2,31.82,18.1,0.5
HIU,2000/10/16,14,2,24.19,7.3,31.72,18.1,1.1
HIU,2000/10/16,15,11,24.13,7.2,31.78,18.1,0.5
HIU,2000/10/24,9,30,22.34,6.4,32.86,14.5,5.4
HIU,2000/10/24,10,45,22.59,7,32.63,14.5,6
HIU,2000/10/24,12,0,22.95,6.7,32.87,14.5,2.7
HIU,2000/10/24,13,10,22.84,6.5,32.87,14.5,1.8
HIU,2000/10/25,8,55,22.75,6.3,33.18,8.6,1.7
HIU,2000/10/25,10,0,22.83,6.9,33,8.6,3.3
HIU,2000/10/25,11,20,22.72,6.7,32.97,8.6,0.8
HIU,2000/10/25,13,0,22.88,6.5,33.11,8.6,2.2
HIU,2001/2/20,9,25,10.51,8.4,33.52,17.4,2.8
HIU,2001/2/20,10,35,10.13,8.8,33.21,17.4,2.1
HIU,2001/2/20,11,45,9.83,8.9,33.15,17.4,0.8
HIU,2001/2/20,12,55,9.81,9.2,33.21,17.4,1
HIU,2001/2/21,8,50,10.77,8.4,33.56,10,1.2
HIU,2001/2/21,10,0,10.1,8.8,33.45,10,3.6
HIU,2001/2/21,11,10,10.21,8.9,33.48,10,2.9
HIU,2001/2/21,13,5,10.62,8.6,33.51,10,1.7
HIU,2001/5/23,10,50,17.63,7.9,32.94,3.7,0.1
HIU,2001/5/23,13,19,18.27,7.7,32.82,3.7,0.1
HIU,2001/5/23,14,4,18.36,7.9,32.3,3.7,0.1
HIU,2001/5/23,15,9,17.14,8.1,32.88,3.7,0.1
HIU,2001/5/29,9,33,18.12,8.1,33.14,25.9,1.3
HIU,2001/5/29,10,43,19.71,8.9,32.93,25.9,1.6
HIU,2001/5/29,11,53,19.42,7.9,33.07,25.9,1
HIU,2001/5/29,13,0,18.89,8.2,33.43,25.9,0.7
HIU,2001/5/30,8,58,16.81,8,33.53,5.6,1.1
HIU,2001/5/30,10,16,17.59,8.2,33.51,5.6,1.1
HIU,2001/5/30,11,25,18.49,8,33.35,5.6,0.9
HIU,2001/5/30,13,10,18.16,8.1,33.42,5.6,0.9
HIU,2001/8/27,11,11,26.74,7.1,32.96,22.7,0.1
HIU,2001/8/27,13,26,26.6,7,32.93,22.7,0.1
HIU,2001/8/27,14,13,27.51,8.2,31.09,22.7,0.1
HIU,2001/8/27,15,30,26.9,9.9,30.11,22.7,0.1
HIU,2001/10/22,10,38,22.45,6.3,30.43,4.2,0.2
HIU,2001/10/22,13,18,22.2,6.6,30.55,4.2,0.2
HIU,2001/10/22,14,7,22.19,6.6,30.35,4.2,0.1
HIU,2001/10/22,15,18,22.4,6.7,30.43,4.2,0.2
HIU,2001/10/23,9,29,21.93,6.3,32.29,17,1.9
HIU,2001/10/23,10,37,22.08,6.4,31.79,17,2
HIU,2001/10/23,11,47,22.09,6.9,32.12,17,1.5
HIU,2001/10/23,13,8,22.05,7.2,32.39,17,1.7
HIU,2001/10/24,8,57,22.42,6.1,32.72,13.7,1.1
HIU,2001/10/24,10,9,22.41,6.3,32.69,13.7,1
HIU,2001/10/24,11,22,21.92,6.7,32.37,13.7,1.1
HIU,2001/10/24,13,10,22.2,6.7,32.5,13.7,1.7
HIU,2002/2/19,9,31,10.55,8.4,33.65,12.1,3.7
HIU,2002/2/19,10,39,9.75,8.9,33.37,12.1,3.8
HIU,2002/2/19,11,50,9.42,9.1,33.4,12.1,3
HIU,2002/2/19,14,34,10.91,8.3,33.64,12.1,3
HIU,2002/2/20,9,51,10.39,8.5,33.64,2.4,0.9
HIU,2002/2/20,10,58,10.24,8.8,33.42,2.4,0.1
HIU,2002/2/20,11,0,9.82,9.4,33.48,2.4,1
HIU,2002/2/20,12,42,10.2,8.8,33.6,2.4,0.8
HIU,2002/2/20,13,21,10.2,8.9,33.41,2.4,0.1
HIU,2002/2/20,14,7,9.63,9.1,33.18,2.4,0.1
HIU,2002/2/20,14,42,10.52,8.7,33.58,2.4,0.9
HIU,2002/2/20,15,12,9.44,9.1,33.13,2.4,0.1
HIU,2002/5/27,13,29,19.84,8.2,31.96,28.2,0.1
HIU,2002/5/27,14,16,21.9,8.3,32.01,28.2,0.1
HIU,2002/5/27,15,29,21.4,8.1,32.05,28.2,0.1
HIU,2002/5/28,9,26,21.25,8.1,32.37,28.7,1.4
HIU,2002/5/28,10,32,21.05,7.8,32.49,28.7,2.9
HIU,2002/5/28,11,40,22.25,8.2,32.24,28.7,2.6
HIU,2002/5/28,12,49,20.63,8,32.4,28.7,1.3
HIU,2002/5/29,8,55,17.64,7.8,33,23.6,2.1
HIU,2002/5/29,10,2,20.31,8,32.51,23.6,1.2
HIU,2002/5/29,11,9,19.57,8.1,32.6,23.6,2.3
HIU,2002/5/29,13,7,18.8,7.7,32.78,23.6,1.4
HIU,2002/8/26,10,25,27.23,6.8,32.4,20.3,0.1
HIU,2002/8/26,11,31,27.5,6.8,32.43,20.3,0.1
HIU,2002/8/26,13,16,28.75,7.6,32.21,20.3,0.1
HIU,2002/8/26,14,23,28.07,7.3,32.37,20.3,0.1
HIU,2002/8/27,9,24,27.68,7.1,32.33,15,4.8
HIU,2002/8/27,11,37,28.41,7.3,32.4,15,1
HIU,2002/8/27,12,44,28.21,7,32.64,15,1.1
HIU,2002/8/28,8,56,26.72,6.2,32.65,12.6,5.2
HIU,2002/8/28,10,5,27.39,6.5,32.63,12.6,1.8
HIU,2002/8/28,11,9,27.82,6.9,32.67,12.6,2
HIU,2002/8/28,13,4,27.33,7.1,32.68,12.6,3.5
HIU,2002/10/22,9,8,22.96,10,32.95,9.6,3.1
HIU,2002/10/22,10,19,23,6.2,32.87,9.6,1.4
HIU,2002/10/22,10,54,22.96,7.2,32.91,9.6,0.1
HIU,2002/10/22,11,33,23.2,5.8,32.89,9.6,1.3
HIU,2002/10/22,12,46,23.24,5.8,32.9,9.6,1.1
HIU,2002/10/22,13,28,23.36,7,32.86,9.6,0.1
HIU,2002/10/22,14,10,23.43,7,32.85,9.6,0.1
HIU,2002/10/22,15,16,23.38,7.1,32.79,9.6,0.1
HIU,2002/10/23,8,54,23.4,6,33.1,10.6,1.2
HIU,2002/10/23,10,0,23.01,6,32.98,10.6,1.7
HIU,2002/10/23,11,15,22.84,6,32.98,10.6,2.3
HIU,2002/10/23,13,11,23.24,5.9,33.07,10.6,1.8
HIU,2003/2/25,9,35,10.19,9.1,33.58,11.9,2.5
HIU,2003/2/25,10,47,10.07,9.1,33.63,11.9,3.8
HIU,2003/2/25,12,0,10.03,9.6,33.53,11.9,2.6
HIU,2003/2/25,13,12,9.95,8.8,33.86,11.9,1.1
HIU,2003/2/26,8,59,10.39,8.6,33.95,7.4,0.8
HIU,2003/2/26,10,13,10.3,8.7,33.93,7.4,1.3
HIU,2003/2/26,11,25,10.1,8.8,33.88,7.4,1.5
HIU,2003/2/26,13,17,10.38,8.6,33.93,7.4,1.2
HIU,2003/5/21,9,25,17.4,9,32.46,25.1,1.4
HIU,2003/5/21,10,28,17.53,8.5,32.81,25.1,1.3
HIU,2003/5/21,11,37,19.12,8.8,32.56,25.1,0.8
HIU,2003/5/21,12,46,17.36,8.9,32.29,25.1,2
HIU,2003/5/22,8,58,15.51,7.8,33.2,15.7,1
HIU,2003/5/22,10,14,17.87,7.7,32.86,15.7,0.2
HIU,2003/5/22,11,20,18.2,8.3,32.52,15.7,0.6
HIU,2003/5/22,13,13,17.03,7.8,32.88,15.7,0.3
HIU,2003/8/26,9,29,28.49,7.9,31.17,7.4,0.6
HIU,2003/8/26,10,38,29.02,7.7,31.05,7.4,0.9
HIU,2003/8/26,11,51,29.21,8.2,31.04,7.4,2
HIU,2003/8/26,12,59,28.33,8.3,31.1,7.4,0.8
HIU,2003/8/27,8,56,24.78,6.2,31.91,15.4,0.8
HIU,2003/8/27,10,2,26.61,7,31.54,15.4,0.6
HIU,2003/8/27,11,12,27.66,7.6,31.32,15.4,0.4
HIU,2003/8/27,13,16,26.53,7.1,31.6,15.4,0.6
HIU,2003/10/21,9,25,21.79,8,31.4,2.3,2.4
HIU,2003/10/21,10,40,22.2,6.8,31.7,2.3,2.5
HIU,2003/10/21,11,58,22.33,6.5,31.79,2.3,1.8
HIU,2003/10/21,13,11,22.28,7.2,31.64,2.3,1.5
HIU,2003/10/22,8,57,22.54,6.4,32.27,15.2,1
HIU,2003/10/22,10,14,22.2,7,31.91,15.2,2
HIU,2003/10/22,11,34,22.2,7,31.89,15.2,3.2
HIU,2003/10/22,13,33,22.48,7.4,31.9,15.2,1.5
HIU,2004/2/24,10,33,10.68,8.9,33.24,15.1,4.7
HIU,2004/2/24,11,39,9.52,8.9,33.08,15.1,0.9
HIU,2004/2/24,12,47,10.91,8.9,33.42,15.1,0.5
HIU,2004/2/25,10,8,11.29,8.6,33.53,14.3,1.2
HIU,2004/2/25,11,13,10.87,9,33.42,14.3,1.2
HIU,2004/2/25,12,18,11.16,9,33.46,14.3,1
HIU,2004/2/25,14,29,11.2,9.2,33.45,14.3,1.7
HIU,2004/5/19,8,38,16.68,7.7,33.35,5,0.9
HIU,2004/5/19,9,48,18.33,7.8,32.94,5,0.3
HIU,2004/5/19,11,0,18.33,7.8,32.91,5,0.2
HIU,2004/5/19,12,57,17.34,7.8,33.17,5,1.1
HIU,2004/5/20,9,7,18.34,8.2,31.96,4.5,1.5
